price,latitude,longitude,accommodates,bathrooms,bedrooms,beds,review_scores_value,license,instant_bookable,distance_min,amenity_parking,amenity_luxurious,amenity_workspace,amenity_dryer,amenity_washer,amenity_outdoor,amenity_security,amenity_balcony_view,amenity_entertainment,amenity_family,amenity_fitness,amenity_pet_friendly,amenity_accessibility,amenities_count,is_entire_home
126.0,40.74697296939259,-74.00178397023312,2,1.0,1.0,1.0,4.58,True,True,0.6917466511437732,True,True,True,True,True,False,True,False,False,False,False,False,False,40,False
60.0,40.65468,-73.95721,1,1.0,1.0,1.0,4.59,False,False,6.622966458515947,True,False,False,True,False,False,True,False,False,False,True,False,False,40,False
65.0,40.64295,-73.97293,1,1.0,1.0,1.0,4.95,False,False,7.299623461110709,True,True,True,True,False,False,True,False,False,False,False,False,True,28,False
65.0,40.66385,-73.93229,1,1.0,1.0,1.0,4.78,False,False,7.200255343368359,False,True,True,True,False,False,False,False,True,False,True,False,True,39,False
200.0,40.78096,-73.98808,2,1.0,1.0,1.0,4.8,False,False,1.2313188830946855,False,True,True,True,True,False,True,False,False,False,False,False,False,33,True
398.0,40.687,-73.96149,8,1.0,2.0,5.0,4.43,False,True,3.668222727146663,True,True,True,True,True,False,True,False,True,True,False,False,False,57,True
185.0,40.68339,-73.94034,2,1.0,1.0,1.0,4.79,False,False,5.404984316343558,True,True,True,True,False,False,True,False,False,False,False,False,False,30,True
212.0,40.72499,-73.99198,4,1.0,1.0,1.0,4.76,False,False,2.13850113657518,True,True,True,True,True,False,False,False,False,False,False,False,False,24,True
81.0,40.8677,-73.92122,2,1.0,1.0,2.0,4.36,False,False,9.9960283962441,False,True,True,True,True,False,False,False,False,False,False,False,True,12,True
59.0,40.73933410644531,-73.9248046875,2,1.0,1.0,2.0,4.85,False,False,5.034127074986648,True,True,True,True,True,False,True,True,False,False,False,True,True,55,False
230.0,40.71681594848633,-73.98969268798828,2,2.0,1.0,1.0,4.82,True,False,1.3367811157663223,True,True,True,True,True,True,True,True,True,False,False,False,True,71,False
183.0,40.69062,-73.97354,2,1.0,1.0,1.0,4.8,False,True,2.6178285101722554,True,True,True,True,True,False,True,True,False,False,True,False,False,42,False
81.0,40.61933,-74.03208,2,1.0,1.0,2.0,4.5,False,False,7.829649063963517,True,True,True,True,True,False,False,True,False,False,False,False,False,37,True
290.0,40.67933,-73.995,4,1.0,2.0,2.0,4.83,False,False,2.977089039724173,True,True,True,True,True,False,True,True,False,True,False,False,False,48,True
88.0,40.719,-73.99764,1,0.5,1.0,1.0,4.68,False,False,1.433887854422841,False,True,True,True,False,False,False,False,False,False,False,False,False,31,False
72.0,40.80592,-73.95172,1,1.0,1.0,1.0,4.82,False,False,2.7027102449615583,True,True,True,True,False,False,False,False,False,False,False,False,False,34,False
106.0,40.61943,-73.99232,2,1.0,1.0,1.0,4.51,False,False,8.916428640344426,True,False,False,True,False,False,False,True,False,False,False,False,False,19,True
149.0,40.7401,-74.00019,2,1.0,1.0,1.0,4.74,False,False,1.2894515510795643,False,False,False,True,False,False,False,False,False,False,False,False,False,9,True
200.0,40.73431,-74.00225,2,1.0,1.0,2.0,4.8,False,False,1.9470794373028268,True,True,True,False,False,False,False,True,False,False,False,False,False,46,True
400.0,40.73778,-73.95366,4,1.0,1.0,2.0,4.7,True,False,2.9498308180456094,False,True,True,True,True,False,False,False,False,True,True,False,False,36,True
400.0,40.73778,-73.95366,4,1.0,1.0,2.0,4.66,True,False,2.9498308180456094,True,True,True,True,True,False,False,False,False,True,True,False,False,37,True
400.0,40.73778,-73.95366,4,1.0,1.0,2.0,4.74,True,False,2.9498308180456094,False,True,True,True,True,False,False,False,False,True,True,False,False,30,True
400.0,40.73778,-73.95366,4,1.0,1.0,2.0,4.67,True,False,2.9498308180456094,False,True,True,True,True,False,False,False,False,True,True,False,False,34,True
88.0,40.61019,-74.06757,3,1.0,1.0,1.0,4.62,False,True,8.988187102242156,True,False,False,True,False,False,False,False,False,False,False,False,False,37,True
140.0,40.78764,-73.97274,2,1.0,1.0,2.0,4.62,False,False,0.470664173876756,False,True,True,True,False,False,False,False,False,False,False,True,False,19,True
160.0,40.68563832502508,-73.92470229417086,2,1.0,1.0,1.0,4.78,False,False,6.511520391889453,True,True,True,True,True,True,True,True,False,True,False,False,False,40,False
145.0,40.79147,-73.94629,2,1.0,1.0,1.0,4.83,False,False,1.9580254216128203,True,True,True,True,False,False,True,True,False,False,False,False,False,38,True
250.0,40.79131,-73.9694,2,1.0,1.0,1.0,4.82,False,False,0.6970015073126862,True,True,True,True,True,False,False,True,False,False,False,False,True,30,True
88.0,40.66646,-73.89254,7,2.0,3.0,4.0,4.52,False,True,9.859108773073018,True,False,False,True,False,False,True,True,False,False,False,False,False,21,True
60.0,40.80692,-73.95481,1,1.5,1.0,1.0,4.91,False,False,2.677602306314917,True,True,True,True,False,False,True,True,False,False,True,False,True,24,False
83.0,40.70132,-73.90883,2,1.0,1.0,2.0,4.59,False,False,7.461771630641629,False,True,True,False,False,False,False,False,False,False,False,False,False,16,False
362.0,40.66386,-73.98519,6,2.0,3.0,4.0,4.82,False,False,4.793974507048198,True,False,False,True,True,True,True,True,True,True,False,False,False,39,True
143.0,40.75408,-73.97071,2,1.0,1.0,1.0,4.61,False,False,0.8476142764078076,True,False,False,True,True,True,False,True,True,False,False,False,True,45,True
250.0,40.77539,-73.91709,1,1.0,1.0,1.0,4.78,False,False,3.917885388998564,True,True,True,True,False,False,False,True,False,False,False,False,False,26,True
